City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,ghazni,33.5536,68.4269,-1.13,41,0,3.12,AF,2025-03-06 02:49:42
211,kindia,10.0569,-12.8658,20.3,87,91,0.95,GN,2025-03-06 02:49:43
212,puerto colombia,10.9878,-74.9547,27.05,85,11,10.41,CO,2025-03-06 02:49:45
213,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,20,1,9.0,RU,2025-03-06 02:49:46
214,aykhal,66.0,111.5,-19.4,94,96,1.36,RU,2025-03-06 02:49:47
215,kuala belait,4.5833,114.1833,26.45,78,100,1.62,BN,2025-03-06 02:49:48
216,ubari,26.5921,12.7805,16.14,34,99,5.07,LY,2025-03-06 02:49:49
217,bredy,52.4153,60.3411,-7.82,97,100,2.34,RU,2025-03-06 02:49:50
218,colonia,50.9333,6.95,5.54,69,0,2.41,DE,2025-03-06 02:49:51
219,shwebo,22.5667,95.7,27.84,23,0,3.64,MM,2025-03-06 02:49:52
220,puerto baquerizo moreno,-0.9,-89.6,26.33,81,98,2.73,EC,2025-03-06 02:49:54
221,san patricio,28.017,-97.5169,15.97,46,3,3.45,US,2025-03-06 02:49:55
222,kavieng,-2.5744,150.7967,29.79,61,26,6.33,PG,2025-03-06 02:49:56
223,usinsk,65.9939,57.5281,-18.36,93,100,3.41,RU,2025-03-06 02:49:57
224,chandla,25.0833,80.2,18.91,14,0,3.71,IN,2025-03-06 02:49:58
225,prairie du chien,43.0517,-91.1412,0.01,69,100,6.17,US,2025-03-06 02:49:59
226,al jaradiyah,16.5795,42.9124,24.87,80,7,2.54,SA,2025-03-06 02:50:00
227,rotonda west,26.8837,-82.2901,21.1,88,75,4.12,US,2025-03-06 02:50:03
228,inverness,57.4791,-4.224,11.02,82,100,7.2,GB,2025-03-06 02:50:04
229,fortuna,40.5982,-124.1573,8.53,95,100,3.09,US,2025-03-06 02:50:05
230,pasighat,28.0667,95.3333,23.39,40,13,0.82,IN,2025-03-06 02:50:06
231,gaiman,-43.2897,-65.4929,17.11,61,30,8.55,AR,2025-03-06 02:50:07
232,monghyr,25.3833,86.4667,20.6,21,0,3.71,IN,2025-03-06 02:50:08
233,ta`u,-14.2336,-169.5144,27.69,69,88,1.8,AS,2025-03-06 02:50:09
234,afaahiti,-17.75,-149.2833,26.78,71,78,2.73,PF,2025-03-06 02:50:10
235,galle,6.0367,80.217,26.45,81,96,1.56,LK,2025-03-06 02:50:12
236,lunino,53.5918,45.2271,-2.06,97,100,4.79,RU,2025-03-06 02:50:13
237,vila franca do campo,37.7167,-25.4333,13.93,93,100,4.25,PT,2025-03-06 02:45:10
238,cidreira,-30.1811,-50.2056,24.98,83,0,10.42,BR,2025-03-06 02:50:15
239,kill devil hills,36.0307,-75.676,15.01,77,0,8.23,US,2025-03-06 02:50:16
240,leninskoye,41.7589,69.3864,1.39,68,1,2.14,KZ,2025-03-06 02:50:17
241,daru,-9.0763,143.2092,29.35,70,98,2.92,PG,2025-03-06 02:50:18
242,fada,7.25,4.0667,23.89,96,72,0.85,NG,2025-03-06 02:50:19
243,navoloki,57.4657,41.9634,1.16,87,100,4.92,RU,2025-03-06 02:50:20
244,prince george,53.9166,-122.753,2.69,87,0,2.06,CA,2025-03-06 02:46:40
245,barra do garcas,-15.89,-52.2567,21.38,94,100,0.35,BR,2025-03-06 02:50:23
246,wakkanai,45.4094,141.6739,-0.01,86,75,4.12,JP,2025-03-06 02:48:59
247,jwaneng,-24.6004,24.7303,20.81,70,0,3.64,BW,2025-03-06 02:50:25
248,bamboo flat,11.7,92.7167,29.05,79,66,3.09,IN,2025-03-06 02:50:27
249,kargasok,59.0556,80.8572,-9.16,92,100,4.57,RU,2025-03-06 02:50:28
250,portland,45.5234,-122.6762,11.08,65,98,6.71,US,2025-03-06 02:48:25
251,grass valley,39.2191,-121.0611,6.29,94,100,2.57,US,2025-03-06 02:50:30
252,san antonio de pale,-1.4014,5.6325,27.68,80,98,3.98,GQ,2025-03-06 02:50:32
253,eseka,3.65,10.7667,23.04,98,91,0.62,CM,2025-03-06 02:50:33
254,shantobe,52.4581,68.1839,-3.92,95,100,7.09,KZ,2025-03-06 02:50:34
255,shobara,34.85,133.0167,5.2,77,98,3.9,JP,2025-03-06 02:50:35
256,jamestown,42.097,-79.2353,7.23,98,100,3.13,US,2025-03-06 02:50:36
257,ishigaki,24.3448,124.1572,17.07,94,75,9.26,JP,2025-03-06 02:50:37
258,abu qurqas,27.9312,30.8384,11.07,74,2,3.44,EG,2025-03-06 02:50:38
259,quellon,-43.1167,-73.6167,14.42,99,100,5.37,CL,2025-03-06 02:50:39
260,egilsstadir,65.2653,-14.3948,-3.05,93,100,0.51,IS,2025-03-06 02:50:40
261,metlili chaamba,32.2667,3.6333,11.52,82,40,8.23,DZ,2025-03-06 02:50:42
262,iecava,56.5986,24.2022,6.51,86,100,7.05,LV,2025-03-06 02:50:43
263,veraval,20.9,70.3667,23.9,19,0,3.48,IN,2025-03-06 02:50:44
264,bonthe,7.5264,-12.505,24.09,85,97,2.52,SL,2025-03-06 02:50:45
265,lospalos,-8.5186,127.0025,29.99,60,100,2.91,TL,2025-03-06 02:50:46
266,mana,5.6592,-53.7767,24.77,86,87,3.53,GF,2025-03-06 02:50:47
267,dhuusamarreeb,5.535,46.3861,22.26,80,94,3.19,SO,2025-03-06 02:50:48
268,hilo,19.7297,-155.09,26.08,75,75,3.6,US,2025-03-06 02:50:49
269,buncrana,55.1333,-7.45,6.85,83,100,5.89,IE,2025-03-06 02:50:50
270,san luis de la loma,17.2706,-100.8939,23.09,79,67,1.12,MX,2025-03-06 02:50:51
271,nogliki,51.8333,143.1667,-12.77,68,100,5.19,RU,2025-03-06 02:50:53
272,howard springs,-12.497,131.047,31.95,51,54,1.34,AU,2025-03-06 02:50:54
273,kapuskasing,49.4169,-82.4331,-14.95,85,100,7.2,CA,2025-03-06 02:50:55
274,tongliao,43.6125,122.2653,1.44,27,0,4.57,CN,2025-03-06 02:50:56
275,levuka,50.1834,-105.4011,-3.16,93,10,3.3,CA,2025-03-06 02:50:57
276,roma,43.2128,-75.4557,8.54,91,100,6.69,US,2025-03-06 02:50:58
277,bontang,0.1333,117.5,29.08,66,100,1.75,ID,2025-03-06 02:50:59
278,ketchikan,55.3422,-131.6461,7.26,81,40,3.6,US,2025-03-06 02:51:00
279,rongelap,11.1635,166.8941,26.92,78,0,9.35,MH,2025-03-06 02:51:02
280,la cruz,23.9167,-106.9,17.12,76,66,0.92,MX,2025-03-06 02:51:03
281,selfoss,63.9331,-20.9971,-0.53,92,100,2.64,IS,2025-03-06 02:51:04
282,bredasdorp,-34.5322,20.0403,19.05,92,2,0.58,ZA,2025-03-06 02:51:05
283,mandal,25.45,74.5667,19.41,12,0,2.32,IN,2025-03-06 02:51:06
284,buanoy,10.4675,123.6999,30.47,65,100,2.36,PH,2025-03-06 02:51:07
285,okha,53.5739,142.9478,-18.63,76,5,6.08,RU,2025-03-06 02:51:09
286,saint-philippe,-21.3585,55.7679,26.23,81,71,4.75,RE,2025-03-06 02:51:10
287,caleta de carquin,-11.0925,-77.6267,22.88,82,97,3.21,PE,2025-03-06 02:51:11
288,remire-montjoly,4.9167,-52.2667,24.02,94,100,3.09,GF,2025-03-06 02:51:12
289,kincardine,56.0667,-3.7167,8.15,84,100,4.76,GB,2025-03-06 02:51:13
290,pisco,-13.7,-76.2167,23.03,88,20,2.57,PE,2025-03-06 02:51:14
291,fond du lac,43.775,-88.4388,-3.21,83,100,6.69,US,2025-03-06 02:51:15
292,archangelos,36.2149,28.1149,11.99,69,1,3.12,GR,2025-03-06 02:51:17
293,blitar,-8.0983,112.1681,29.94,67,53,2.38,ID,2025-03-06 02:51:18
294,hoi an,15.8794,108.335,26.98,89,88,3.25,VN,2025-03-06 02:51:19
295,callao,-12.0667,-77.15,24.84,83,0,3.09,PE,2025-03-06 02:51:20
296,codajas,-3.8367,-62.0569,22.8,97,100,1.1,BR,2025-03-06 02:51:21
297,sandnessjoen,66.0217,12.6316,1.82,97,100,7.49,NO,2025-03-06 02:51:22
